GSM_ID,Factor,Biosource,GIGGLE_score
GSM2266285,EHF,Epithelium,1264.0415933397344
GSM2394413,IRF1,JHU-06;Endothelial Cell,1209.4258248889819
GSM2266286,EHF,Epithelium,1164.6143771003185
GSM1816088,IRF2,Hematopoietic stem and progenitor cell;Bone Marrow,1159.5685883575313
GSM2394412,IRF1,JHU-06;Endothelial Cell,1155.5659032786027
GSM1548072,EHF,Calu-3;Epithelium;Lung,1122.2807615535621
GSM2266292,JUN,Calu-3;Lung,1090.6220217424252
GSM2266291,JUN,Calu-3;Lung,1085.1256528619326
GSM1208632,HNF4A,LoVo;Colon,1065.088231719194
GSM2266293,JUND,Calu-3;Lung,1045.4795069725124
GSM738818,JUND,PC-3;Epithelium;Prostate,1034.0863249324561
GSM1240829,HNF4A,GP5d;Colon,1031.4997430740627
GSM1678031,DNMT1,PC-3;Epithelium;Prostate,1014.0185538125199
ENCSR593DGU_1,FOSL2,A549;Epithelium;Lung,1014.0043303718512
ENCSR775UFR_1,FOSL2,A549;Epithelium;Lung,1011.4525411180628
ENCSR775UFR_2,FOSL2,A549;Epithelium;Lung,1007.936397169511
ENCSR111ZXV_2,FOSL2,A549;Epithelium;Lung,1006.7550458952693
ENCSR593DGU_2,FOSL2,A549;Epithelium;Lung,1004.3249020941253
GSM2501565,FOSL1,MDA-MB-231;Breast,1004.221701589177
ENCSR067XTW_2,FOSL2,A549;Epithelium;Lung,1002.4070612333094
ENCSR900RUE_3,FOSL2,A549;Epithelium;Lung,999.9983529528988
GSM1835989,SMARCA4,HCT-116;colorectal carcinoma derived cell line,999.9558381293482
ENCSR686HIU_1,FOSL2,A549;Epithelium;Lung,999.4898375838047
GSM1835990,SMARCC1,HCT-116;colorectal carcinoma derived cell line,997.6825341062131
GSM1084783,TEAD4,MKN28;Epithelium,996.8248479893059
ENCSR242EWU_2,FOSL2,A549;Epithelium;Lung,996.4683056011104
ENCSR686HIU_2,FOSL2,A549;Epithelium;Lung,994.2810159747321
ENCSR535HFQ_1,FOSL2,A549;Epithelium;Lung,991.1392590622296
ENCSR330IJE_1,FOSL2,A549;Epithelium;Lung,989.087465710828
ENCSR900RUE_1,FOSL2,A549;Epithelium;Lung,987.5048713253187
