GSM_ID,Factor,Biosource,GIGGLE_score
ENCSR775UFR_3,FOSL2,A549;Epithelium;Lung,1295.8377576394712
ENCSR067XTW_2,FOSL2,A549;Epithelium;Lung,1292.0548095319914
ENCSR274WRI_3,FOSL2,A549;Epithelium;Lung,1289.7194649514645
ENCSR103UVU_1,FOSL2,A549;Epithelium;Lung,1289.7003224966613
ENCSR535HFQ_1,FOSL2,A549;Epithelium;Lung,1288.8811665978612
ENCSR546KCN_2,FOSL2,MCF-7;Epithelium;Breast,1285.8438026771134
GSM738818,JUND,PC-3;Epithelium;Prostate,1281.1181154840742
GSM2266291,JUN,Calu-3;Lung,1278.6835286164367
ENCSR330IJE_2,FOSL2,A549;Epithelium;Lung,1275.9924108394503
GSM1010768,FOSL2,MCF-7;Epithelium;Breast,1274.4505771969466
GSM2266292,JUN,Calu-3;Lung,1273.9252462664292
ENCSR686HIU_2,FOSL2,A549;Epithelium;Lung,1272.7421339630796
ENCSR775UFR_1,FOSL2,A549;Epithelium;Lung,1266.3433561291831
ENCSR593DGU_2,FOSL2,A549;Epithelium;Lung,1265.4924132478207
ENCSR775UFR_2,FOSL2,A549;Epithelium;Lung,1260.162168028001
ENCSR593DGU_1,FOSL2,A549;Epithelium;Lung,1259.2234140929722
ENCSR274WRI_1,FOSL2,A549;Epithelium;Lung,1257.9461690372266
ENCSR274WRI_2,FOSL2,A549;Epithelium;Lung,1257.4002106328007
ENCSR067XTW_3,FOSL2,A549;Epithelium;Lung,1251.1813312379795
ENCSR686HIU_1,FOSL2,A549;Epithelium;Lung,1250.9638167624532
ENCSR900RUE_1,FOSL2,A549;Epithelium;Lung,1250.3528332885373
ENCSR546KCN_1,FOSL2,MCF-7;Epithelium;Breast,1242.8636498315195
GSM1835989,SMARCA4,HCT-116;colorectal carcinoma derived cell line,1242.3305457705835
ENCSR067XTW_1,FOSL2,A549;Epithelium;Lung,1238.2209869914245
ENCSR900RUE_3,FOSL2,A549;Epithelium;Lung,1238.048843393432
GSM1835990,SMARCC1,HCT-116;colorectal carcinoma derived cell line,1237.75431762419
ENCSR111ZXV_3,FOSL2,A549;Epithelium;Lung,1233.7721890248954
ENCSR242EWU_2,FOSL2,A549;Epithelium;Lung,1232.7780258747568
ENCSR111ZXV_1,FOSL2,A549;Epithelium;Lung,1228.1988859286384
ENCSR111ZXV_2,FOSL2,A549;Epithelium;Lung,1227.1801032772596
ENCSR330IJE_1,FOSL2,A549;Epithelium;Lung,1225.5235608099044
GSM2266293,JUND,Calu-3;Lung,1225.1858203616196
ENCSR242EWU_1,FOSL2,A549;Epithelium;Lung,1222.3442155321713
ENCSR563GCV_1,FOSL2,A549;Epithelium;Lung,1222.0808246617928
ENCSR563GCV_2,FOSL2,A549;Epithelium;Lung,1214.1572276890288
ENCSR535HFQ_3,FOSL2,A549;Epithelium;Lung,1211.1202895551335
ENCSR535HFQ_2,FOSL2,A549;Epithelium;Lung,1209.715289220181
ENCSR563GCV_3,FOSL2,A549;Epithelium;Lung,1201.412240322457
ENCSR103UVU_2,FOSL2,A549;Epithelium;Lung,1201.1012801795814
ENCSR900RUE_2,FOSL2,A549;Epithelium;Lung,1196.0633069750852
ENCSR242EWU_3,FOSL2,A549;Epithelium;Lung,1195.3800332648877
GSM2501565,FOSL1,MDA-MB-231;Breast,1189.4728995041878
GSM1489263,TP63,HaCaT;Keratinocyte,1183.810360604496
GSM2266285,EHF,Epithelium,1179.2051414513835
GSM1678031,DNMT1,PC-3;Epithelium;Prostate,1175.6224146970599
GSM794864,TP63,Keratinocyte;Foreskin,1175.2846006848017
GSM2635308,FOSL1,MNNG;Osteosarcoma cell,1171.7483311160265
GSM1246718,SMAD4,NCI-H441;Epithelium;Lung,1161.7952535084594
GSM659789,FOS,MCF-7;Epithelium;Breast,1161.3475139163065
GSM1424530,JUND,DU145;Epithelium;Prostate,1160.4682564723778
GSM2074752,TP63,Keratinocyte,1139.4587834218014
GSM1366693,TP63,Keratinocyte;Foreskin,1137.872197373762
GSM2977012,PRMT1,Keratinocyte,1136.2309185237061
ENCSR686BQM_2,EP300,A549;Epithelium;Lung,1135.8414885949535
GSM2635310,FOSL1,143B;Osteosarcoma cell,1131.8166690684573
GSM2042914,JUND,HT29;colorectal adenocarcinoma,1131.505900179807
ENCSR358ELZ_1,EP300,A549;Epithelium;Lung,1131.4127174013315
GSM1122848,FAIRE,Epithelium;Mammary Gland,1127.3121470419526
GSM1700784,JUN,MDA-MB-231;Epithelium;Breast,1127.052248143618
